case_id,mesh_id,diagonal,resolution,field_id,field_kind,energy_j,reference_energy_j,energy_relative_error,normalized_energy_error,curvature_relative_l2_error,float32_displacement_energy_j,float32_energy_relative_difference,float32_max_displacement_error_m,normal_force_norm_n,operator_sha256
backward_4_dome,backward_4,backward,4,dome,quadratic,0.0005200000000000007,0.0005200000000000001,1.2510025067140434e-15,3.2526065174565133e-15,4.02447901763319e-15,0.0005199999004357103,1.914697892423098e-07,4.470348362317633e-10,0.249071868982363,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_saddle,backward_4,backward,4,saddle,quadratic,0.00028,0.00028000000000000003,1.9360753080098292e-16,2.710505431213761e-16,2.9370751771821534e-15,0.0002800000034320065,1.2257166155685088e-08,3.725290301931361e-10,0.1337235955244999,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_quartic,backward_4,backward,4,quartic,general,2.4609532445790814e-05,3.36e-05,0.26757343911336856,0.04495233777104591,0.2910077503436575,2.460953634891371e-05,1.5860207434667376e-07,9.499490256914545e-11,0.06263956503832538,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_sine,backward_4,backward,4,sine,general,3.5235176983037936e-05,4.8704545517001214e-05,0.27655259670294113,0.06734684266981639,0.470248611287519,3.523517888717352e-05,5.4040755413911e-08,4.749745128457272e-11,0.06167047493645707,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_8_cylinder_000,backward_8,backward,8,cylinder_000,quadratic,0.00020000000000000085,0.0002,4.20128341838133e-15,4.20128341838133e-15,8.820242137284619e-15,0.00019999991655357646,4.1723212192601443e-07,2.2351741811588166e-10,0.20458731482610323,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_cylinder_015,backward_8,backward,8,cylinder_015,quadratic,0.00020000000000000104,0.0002,5.149960319306146e-15,5.149960319306146e-15,1.281885612498251e-14,0.00020000002810088917,1.4050444062884306e-07,4.624100633648931e-10,0.19867599860946794,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_cylinder_030,backward_8,backward,8,cylinder_030,quadratic,0.00020000000000000096,0.00019999999999999998,4.878909776184771e-15,4.87890977618477e-15,1.3398059218688684e-14,0.00020000007375937904,3.6879689040603124e-07,7.386334287262653e-10,0.18764539028144503,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_cylinder_045,backward_8,backward,8,cylinder_045,quadratic,0.00020000000000000052,0.0002,2.574980159653073e-15,2.574980159653073e-15,1.558977334965454e-14,0.00019999998341873384,8.290633343689311e-08,4.470348362317633e-10,0.18198701316078433,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_cylinder_060,backward_8,backward,8,cylinder_060,quadratic,0.00020000000000000055,0.00020000000000000004,2.5749801596530726e-15,2.574980159653073e-15,1.521998360278642e-14,0.00020000007375937874,3.6879689094813307e-07,7.386334252568183e-10,0.18764539028144459,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
backward_8_cylinder_075,backward_8,backward,8,cylinder_075,quadratic,0.0002000000000000002,0.0002,9.486769009248164e-16,9.486769009248164e-16,1.3730069368639103e-14,0.00020000002810088843,1.4050444117094476e-07,4.624100616301696e-10,0.19867599860946733,a7e066624f578d122c696088282dd8d3b0c1700998c462500e37edcf93a40f91
